Average BPM,Time (hh:mm:ss),Date,fatigue
103,0.0,2023-09-28,Normal
109,60.0,2023-09-28,Normal
132,120.0,2023-09-28,Aerobic
137,180.0,2023-09-28,Anaerobic
137,240.0,2023-09-28,Anaerobic
137,300.0,2023-09-28,Anaerobic
137,360.0,2023-09-28,Anaerobic
137,420.0,2023-09-28,Anaerobic
137,480.0,2023-09-28,Anaerobic
147,540.0,2023-09-28,Anaerobic
149,600.0,2023-09-28,Anaerobic
150,660.0,2023-09-28,Anaerobic
157,720.0,2023-09-28,Maximum
168,780.0,2023-09-28,Maximum
167,840.0,2023-09-28,Maximum
143,900.0,2023-09-28,Anaerobic
144,960.0,2023-09-28,Anaerobic
144,1020.0,2023-09-28,Anaerobic
130,0.0,2023-10-05,Anaerobic
132,60.0,2023-10-05,Anaerobic
149,120.0,2023-10-05,Maximum
139,180.0,2023-10-05,Anaerobic
147,240.0,2023-10-05,Maximum
153,300.0,2023-10-05,Maximum
146,360.0,2023-10-05,Maximum
132,420.0,2023-10-05,Anaerobic
143,480.0,2023-10-05,Anaerobic
150,540.0,2023-10-05,Maximum
155,600.0,2023-10-05,Maximum
128,660.0,2023-10-05,Aerobic
151,720.0,2023-10-05,Maximum
161,780.0,2023-10-05,Maximum
134,840.0,2023-10-05,Anaerobic
114,900.0,2023-10-05,Aerobic
135,960.0,2023-10-05,Anaerobic
142,1020.0,2023-10-05,Anaerobic
142,1080.0,2023-10-05,Anaerobic
137,1140.0,2023-10-05,Anaerobic
151,1200.0,2023-10-05,Maximum
152,1260.0,2023-10-05,Maximum
147,1320.0,2023-10-05,Maximum
129,1380.0,2023-10-05,Anaerobic
106,1440.0,2023-10-05,Normal
117,1500.0,2023-10-05,Aerobic
118,1560.0,2023-10-05,Aerobic
117,1620.0,2023-10-05,Aerobic
132,1680.0,2023-10-05,Anaerobic
126,1740.0,2023-10-05,Aerobic
123,1800.0,2023-10-05,Aerobic
124,1860.0,2023-10-05,Aerobic
125,1920.0,2023-10-05,Aerobic
112,1980.0,2023-10-05,Aerobic
108,2040.0,2023-10-05,Normal
103,2100.0,2023-10-05,Normal
99,2160.0,2023-10-05,Normal
101,2220.0,2023-10-05,Normal
100,2280.0,2023-10-05,Normal
98,2340.0,2023-10-05,Normal
96,2400.0,2023-10-05,Normal
99,2460.0,2023-10-05,Normal
110,2520.0,2023-10-05,Normal
103,2580.0,2023-10-05,Normal
97,2640.0,2023-10-05,Normal
103,2700.0,2023-10-05,Normal
117,2760.0,2023-10-05,Aerobic
113,2820.0,2023-10-05,Aerobic
110,2880.0,2023-10-05,Normal
112,2940.0,2023-10-05,Aerobic
110,3000.0,2023-10-05,Normal
105,3060.0,2023-10-05,Normal
117,0.0,2023-10-09,Aerobic
110,60.0,2023-10-09,Normal
126,120.0,2023-10-09,Aerobic
132,180.0,2023-10-09,Anaerobic
143,240.0,2023-10-09,Anaerobic
137,300.0,2023-10-09,Anaerobic
114,360.0,2023-10-09,Aerobic
113,420.0,2023-10-09,Normal
140,480.0,2023-10-09,Anaerobic
144,540.0,2023-10-09,Anaerobic
132,600.0,2023-10-09,Anaerobic
132,660.0,2023-10-09,Anaerobic
147,720.0,2023-10-09,Anaerobic
148,780.0,2023-10-09,Maximum
152,840.0,2023-10-09,Maximum
141,900.0,2023-10-09,Anaerobic
148,960.0,2023-10-09,Maximum
161,1020.0,2023-10-09,Maximum
159,1080.0,2023-10-09,Maximum
155,1140.0,2023-10-09,Maximum
142,1200.0,2023-10-09,Anaerobic
148,1260.0,2023-10-09,Maximum
157,1320.0,2023-10-09,Maximum
158,1380.0,2023-10-09,Maximum
155,1440.0,2023-10-09,Maximum
161,1500.0,2023-10-09,Maximum
164,1560.0,2023-10-09,Maximum
157,1620.0,2023-10-09,Maximum
154,1680.0,2023-10-09,Maximum
163,1740.0,2023-10-09,Maximum
157,1800.0,2023-10-09,Maximum
162,1860.0,2023-10-09,Maximum
157,1920.0,2023-10-09,Maximum
161,1980.0,2023-10-09,Maximum
158,2040.0,2023-10-09,Maximum
138,2100.0,2023-10-09,Anaerobic
144,2160.0,2023-10-09,Anaerobic
114,2220.0,2023-10-09,Aerobic
134,2280.0,2023-10-09,Anaerobic
140,2340.0,2023-10-09,Anaerobic
141,2400.0,2023-10-09,Anaerobic
146,2460.0,2023-10-09,Anaerobic
131,2520.0,2023-10-09,Aerobic
105,2580.0,2023-10-09,Normal
130,2640.0,2023-10-09,Aerobic
78,2700.0,2023-10-09,Recovery
112,2760.0,2023-10-09,Normal
122,2820.0,2023-10-09,Aerobic
121,2880.0,2023-10-09,Aerobic
100,2940.0,2023-10-09,Normal
102,3000.0,2023-10-09,Normal
54,3060.0,2023-10-09,Recovery
0,3120.0,2023-10-09,Recovery
18,3180.0,2023-10-09,Recovery
88,3240.0,2023-10-09,Normal
62,3300.0,2023-10-09,Recovery
82,0.0,2023-10-18,Normal
93,60.0,2023-10-18,Normal
114,120.0,2023-10-18,Aerobic
119,180.0,2023-10-18,Aerobic
123,240.0,2023-10-18,Aerobic
146,300.0,2023-10-18,Maximum
132,360.0,2023-10-18,Anaerobic
133,420.0,2023-10-18,Anaerobic
124,480.0,2023-10-18,Aerobic
133,540.0,2023-10-18,Anaerobic
138,600.0,2023-10-18,Anaerobic
139,660.0,2023-10-18,Anaerobic
135,720.0,2023-10-18,Anaerobic
146,780.0,2023-10-18,Maximum
155,840.0,2023-10-18,Maximum
146,900.0,2023-10-18,Maximum
152,960.0,2023-10-18,Maximum
159,1020.0,2023-10-18,Maximum
153,1080.0,2023-10-18,Maximum
152,1140.0,2023-10-18,Maximum
153,1200.0,2023-10-18,Maximum
156,1260.0,2023-10-18,Maximum
152,1320.0,2023-10-18,Maximum
147,1380.0,2023-10-18,Maximum
146,1440.0,2023-10-18,Maximum
141,1500.0,2023-10-18,Anaerobic
151,1560.0,2023-10-18,Maximum
162,1620.0,2023-10-18,Maximum
136,1680.0,2023-10-18,Anaerobic
142,1740.0,2023-10-18,Anaerobic
